[629/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:6  	lastexch:68  	cond:37
[630/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:107  	lastexch:68  	cond:0
[632/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:200  	lastexch:68  	cond:0
[633/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:500  	lastexch:68  	cond:0
[634/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:5  	lastexch:68  	cond:37
[636/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:13  	lastexch:68  	cond:37
[637/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:50  	lastexch:68  	cond:37
[638/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:17  	lastexch:68  	cond:37
[639/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:300  	lastexch:68  	cond:0
[640/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:8  	lastexch:68  	cond:37
[641/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:5  	lastexch:68  	cond:37
[642/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:280  	lastexch:68  	cond:0
[643/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[646/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:84  	cond:0
[647/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:200  	lastexch:68  	cond:0
[660/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:485  	lastexch:68  	cond:0
[672/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:200  	lastexch:68  	cond:0
[673/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:91  	lastexch:68  	cond:37
[674/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:57  	lastexch:68  	cond:37
[675/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:225  	lastexch:68  	cond:0
[679/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:500  	lastexch:80  	cond:0
[684/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:202  	lastexch:84  	cond:0
[688/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:340  	lastexch:84  	cond:0
[689/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:34  	lastexch:68  	cond:37
[691/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:300  	lastexch:90  	cond:0
[692/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:80  	lastexch:68  	cond:37
[696/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:700  	lastexch:90  	cond:0
[700/100000] [12/1/2014 9:30:0] TRADE   	[last:206.43  	lastsize:100  	lastexch:84  	cond:0
[703/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:365  	lastexch:68  	cond:0
[704/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:100  	lastexch:68  	cond:0
[705/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:20  	lastexch:68  	cond:37
[707/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:65  	lastexch:68  	cond:37
[709/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:2  	lastexch:68  	cond:37
[710/100000] [12/1/2014 9:30:0] TRADE   	[last:206.41  	lastsize:100  	lastexch:90  	cond:0
[713/100000] [12/1/2014 9:30:0] TRADE   	[last:206.38  	lastsize:122  	lastexch:68  	cond:0
[724/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:80  	cond:0
[725/100000] [12/1/2014 9:30:0] TRADE   	[last:206.42  	lastsize:200  	lastexch:80  	cond:0
