[338/47861] [12/1/2014 9:32:20] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[339/47861] [12/1/2014 9:32:23] TRADE   	[last:56.862  	lastsize:600  	lastexch:68  	cond:0
[342/47861] [12/1/2014 9:32:23] TRADE   	[last:56.86  	lastsize:100  	lastexch:78  	cond:0
[345/47861] [12/1/2014 9:32:25] TRADE   	[last:56.85  	lastsize:200  	lastexch:78  	cond:0
[346/47861] [12/1/2014 9:32:26] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[348/47861] [12/1/2014 9:32:38] TRADE   	[last:56.862  	lastsize:500  	lastexch:68  	cond:0
[351/47861] [12/1/2014 9:32:40] TRADE   	[last:56.87  	lastsize:100  	lastexch:75  	cond:0
[352/47861] [12/1/2014 9:32:42] TRADE   	[last:56.8501  	lastsize:110  	lastexch:68  	cond:0
[354/47861] [12/1/2014 9:32:46] TRADE   	[last:56.85  	lastsize:100  	lastexch:78  	cond:0
[355/47861] [12/1/2014 9:32:46] TRADE   	[last:56.85  	lastsize:100  	lastexch:84  	cond:0
[356/47861] [12/1/2014 9:32:46] TRADE   	[last:56.85  	lastsize:50  	lastexch:78  	cond:37
[357/47861] [12/1/2014 9:32:46] TRADE   	[last:56.85  	lastsize:90  	lastexch:84  	cond:37
[358/47861] [12/1/2014 9:32:46] TRADE   	[last:56.85  	lastsize:89  	lastexch:78  	cond:37
[360/47861] [12/1/2014 9:32:46] TRADE   	[last:56.82  	lastsize:100  	lastexch:75  	cond:0
[363/47861] [12/1/2014 9:32:47] TRADE   	[last:56.82  	lastsize:100  	lastexch:84  	cond:0
[371/47861] [12/1/2014 9:32:47] TRADE   	[last:56.82  	lastsize:1  	lastexch:74  	cond:37
[374/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:100  	lastexch:78  	cond:0
[376/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:9  	lastexch:90  	cond:37
[377/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:20  	lastexch:75  	cond:37
[378/47861] [12/1/2014 9:32:47] TRADE   	[last:56.80  	lastsize:7  	lastexch:75  	cond:37
