[235/5404] [12/1/2014 9:41:20] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:75  	askexch:81  	cond:0
[236/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:75  	askexch:75  	cond:0
[237/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[238/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[239/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[240/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[241/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:75  	askexch:75  	cond:0
[244/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.78  	ask:11.82   	bidsize:3  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[246/5404] [12/1/2014 9:41:21] QUOTE   	[bid:11.79  	ask:11.82   	bidsize:1  	asksize:1  	bidexch:80  	askexch:75  	cond:0
[248/5404] [12/1/2014 9:41:23] QUOTE   	[bid:11.79  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:75  	cond:0
[252/5404] [12/1/2014 9:41:24] QUOTE   	[bid:11.79  	ask:11.82   	bidsize:2  	asksize:1  	bidexch:81  	askexch:81  	cond:0
[253/5404] [12/1/2014 9:41:25] QUOTE   	[bid:11.79  	ask:11.94   	bidsize:2  	asksize:5  	bidexch:81  	askexch:81  	cond:0
[254/5404] [12/1/2014 9:41:25] QUOTE   	[bid:11.79  	ask:11.94   	bidsize:1  	asksize:5  	bidexch:80  	askexch:81  	cond:0
[258/5404] [12/1/2014 9:41:25] QUOTE   	[bid:11.79  	ask:11.93   	bidsize:1  	asksize:1  	bidexch:80  	askexch:66  	cond:0
[259/5404] [12/1/2014 9:41:25] QUOTE   	[bid:11.79  	ask:11.93   	bidsize:1  	asksize:3  	bidexch:80  	askexch:90  	cond:0
[260/5404] [12/1/2014 9:41:25] QUOTE   	[bid:11.79  	ask:11.93   	bidsize:1  	asksize:2  	bidexch:80  	askexch:81  	cond:0
[261/5404] [12/1/2014 9:41:25] QUOTE   	[bid:11.79  	ask:11.92   	bidsize:1  	asksize:1  	bidexch:80  	askexch:80  	cond:0
