[766/5404] [12/1/2014 10:0:18] TRADE   	[last:11.59  	lastsize:100  	lastexch:81  	cond:0
[767/5404] [12/1/2014 10:0:18] TRADE   	[last:11.59  	lastsize:100  	lastexch:81  	cond:0
[769/5404] [12/1/2014 10:0:18] TRADE   	[last:11.59  	lastsize:200  	lastexch:80  	cond:0
[785/5404] [12/1/2014 10:0:52] TRADE   	[last:11.63  	lastsize:100  	lastexch:68  	cond:0
[787/5404] [12/1/2014 10:1:6] TRADE   	[last:11.66  	lastsize:1000  	lastexch:81  	cond:0
[788/5404] [12/1/2014 10:1:6] TRADE   	[last:11.66  	lastsize:300  	lastexch:81  	cond:0
[790/5404] [12/1/2014 10:1:6] TRADE   	[last:11.66  	lastsize:700  	lastexch:81  	cond:0
[796/5404] [12/1/2014 10:1:8] TRADE   	[last:11.71  	lastsize:100  	lastexch:90  	cond:0
[799/5404] [12/1/2014 10:1:15] TRADE   	[last:11.69  	lastsize:61  	lastexch:68  	cond:0
[800/5404] [12/1/2014 10:1:16] TRADE   	[last:11.69  	lastsize:1300  	lastexch:68  	cond:0
[801/5404] [12/1/2014 10:1:18] TRADE   	[last:11.69  	lastsize:200  	lastexch:68  	cond:0
[808/5404] [12/1/2014 10:1:40] TRADE   	[last:11.695  	lastsize:200  	lastexch:68  	cond:0
[814/5404] [12/1/2014 10:1:56] TRADE   	[last:11.69  	lastsize:100  	lastexch:68  	cond:0
[817/5404] [12/1/2014 10:2:5] TRADE   	[last:11.68  	lastsize:200  	lastexch:81  	cond:0
[826/5404] [12/1/2014 10:2:13] TRADE   	[last:11.56  	lastsize:13  	lastexch:68  	cond:0
[847/5404] [12/1/2014 10:3:16] TRADE   	[last:11.60  	lastsize:100  	lastexch:68  	cond:0
[848/5404] [12/1/2014 10:3:16] TRADE   	[last:11.53  	lastsize:100  	lastexch:81  	cond:0
[851/5404] [12/1/2014 10:3:16] TRADE   	[last:11.57  	lastsize:100  	lastexch:74  	cond:0
[854/5404] [12/1/2014 10:3:16] TRADE   	[last:11.60  	lastsize:100  	lastexch:81  	cond:0
[855/5404] [12/1/2014 10:3:16] TRADE   	[last:11.60  	lastsize:100  	lastexch:81  	cond:0
[856/5404] [12/1/2014 10:3:16] TRADE   	[last:11.60  	lastsize:100  	lastexch:75  	cond:0
[859/5404] [12/1/2014 10:3:16] TRADE   	[last:11.60  	lastsize:100  	lastexch:80  	cond:0
[867/5404] [12/1/2014 10:3:55] TRADE   	[last:11.61  	lastsize:100  	lastexch:89  	cond:0
[868/5404] [12/1/2014 10:3:55] TRADE   	[last:11.62  	lastsize:200  	lastexch:89  	cond:0
[869/5404] [12/1/2014 10:3:55] TRADE   	[last:11.62  	lastsize:100  	lastexch:89  	cond:0
[870/5404] [12/1/2014 10:3:55] TRADE   	[last:11.62  	lastsize:100  	lastexch:68  	cond:0
[871/5404] [12/1/2014 10:3:55] TRADE   	[last:11.62  	lastsize:100  	lastexch:68  	cond:0
[872/5404] [12/1/2014 10:3:55] TRADE   	[last:11.55  	lastsize:100  	lastexch:81  	cond:0
[873/5404] [12/1/2014 10:3:55] TRADE   	[last:11.62  	lastsize:100  	lastexch:68  	cond:0
[874/5404] [12/1/2014 10:3:56] TRADE   	[last:11.62  	lastsize:100  	lastexch:68  	cond:0
[881/5404] [12/1/2014 10:4:3] TRADE   	[last:11.62  	lastsize:100  	lastexch:81  	cond:0
[884/5404] [12/1/2014 10:4:3] TRADE   	[last:11.605  	lastsize:100  	lastexch:68  	cond:0
[885/5404] [12/1/2014 10:4:11] TRADE   	[last:11.655  	lastsize:100  	lastexch:68  	cond:0
[886/5404] [12/1/2014 10:4:13] TRADE   	[last:11.5501  	lastsize:1000  	lastexch:68  	cond:0
[903/5404] [12/1/2014 10:4:57] TRADE   	[last:11.68  	lastsize:100  	lastexch:68  	cond:0
[904/5404] [12/1/2014 10:5:1] TRADE   	[last:11.68  	lastsize:700  	lastexch:68  	cond:0
[905/5404] [12/1/2014 10:5:7] TRADE   	[last:11.68  	lastsize:1500  	lastexch:68  	cond:0
[906/5404] [12/1/2014 10:5:7] TRADE   	[last:11.68  	lastsize:100  	lastexch:68  	cond:0
[910/5404] [12/1/2014 10:5:12] TRADE   	[last:11.69  	lastsize:500  	lastexch:68  	cond:0
[915/5404] [12/1/2014 10:5:21] TRADE   	[last:11.69  	lastsize:100  	lastexch:81  	cond:0
[916/5404] [12/1/2014 10:5:21] TRADE   	[last:11.68  	lastsize:100  	lastexch:81  	cond:0
[919/5404] [12/1/2014 10:5:26] TRADE   	[last:11.645  	lastsize:500  	lastexch:68  	cond:0
[921/5404] [12/1/2014 10:5:29] TRADE   	[last:11.64  	lastsize:100  	lastexch:81  	cond:0
[925/5404] [12/1/2014 10:5:29] TRADE   	[last:11.66  	lastsize:100  	lastexch:68  	cond:0
[929/5404] [12/1/2014 10:5:30] TRADE   	[last:11.55  	lastsize:100  	lastexch:74  	cond:37
[931/5404] [12/1/2014 10:5:30] TRADE   	[last:11.55  	lastsize:100  	lastexch:74  	cond:37
[932/5404] [12/1/2014 10:5:31] TRADE   	[last:11.55  	lastsize:100  	lastexch:74  	cond:0
[933/5404] [12/1/2014 10:5:31] TRADE   	[last:11.52  	lastsize:100  	lastexch:74  	cond:0
[937/5404] [12/1/2014 10:5:32] TRADE   	[last:11.5301  	lastsize:600  	lastexch:68  	cond:0
[938/5404] [12/1/2014 10:5:32] TRADE   	[last:11.53  	lastsize:400  	lastexch:68  	cond:0
[955/5404] [12/1/2014 10:6:1] TRADE   	[last:11.53  	lastsize:200  	lastexch:81  	cond:0
[958/5404] [12/1/2014 10:6:9] TRADE   	[last:11.59  	lastsize:200  	lastexch:68  	cond:0
[959/5404] [12/1/2014 10:6:15] TRADE   	[last:11.59  	lastsize:500  	lastexch:68  	cond:0
[963/5404] [12/1/2014 10:6:26] TRADE   	[last:11.58  	lastsize:1000  	lastexch:89  	cond:0
[967/5404] [12/1/2014 10:6:36] TRADE   	[last:11.58  	lastsize:300  	lastexch:68  	cond:0
[969/5404] [12/1/2014 10:6:45] TRADE   	[last:11.59  	lastsize:200  	lastexch:81  	cond:0
[973/5404] [12/1/2014 10:6:48] TRADE   	[last:11.59  	lastsize:100  	lastexch:81  	cond:0
[975/5404] [12/1/2014 10:6:50] TRADE   	[last:11.63  	lastsize:100  	lastexch:80  	cond:0
[987/5404] [12/1/2014 10:6:56] TRADE   	[last:11.645  	lastsize:100  	lastexch:68  	cond:0
[988/5404] [12/1/2014 10:6:56] TRADE   	[last:11.645  	lastsize:300  	lastexch:68  	cond:0
[989/5404] [12/1/2014 10:6:56] TRADE   	[last:11.645  	lastsize:100  	lastexch:68  	cond:0
[992/5404] [12/1/2014 10:7:5] TRADE   	[last:11.62  	lastsize:100  	lastexch:80  	cond:37
[993/5404] [12/1/2014 10:7:5] TRADE   	[last:11.61  	lastsize:100  	lastexch:80  	cond:37
[997/5404] [12/1/2014 10:7:5] TRADE   	[last:11.60  	lastsize:100  	lastexch:75  	cond:37
